FruitID,Dry,Dry_date
GS1_90.05,2.35,1
GS1_139.03,1.99,1
GS1_160.5,2.49,1
GS1_24.06,2.23,1
GS1_160.4,2.05,1
GS1_24.04,2.47,1
GS1_24.02,2.52,1
GS1_30.02,2.58,1
GS1_90.06,1.99,1
GS1_139.06,1.91,1
GS1_30.06,2.33,1
GS1_24.03,2.18,1
GS1_90.04,2.12,1
GS1_90.03,2.08,1
GS1_139.05,2.28,1
GS1_90.01,2.45,1
GS1_139.01,1.75,1
GS1_139.04,1.81,1
GS1_90.02,2.49,1
GS1_30.03,1.9,1
GS1_139.02,1.99,1
GS1_30.01,2.24,1
GS1_184.02,1.95,1
GS1_105.01,2.35,1
GS1_30.05,1.97,1
GS1_184.01,1.8,1
GS1_30.04,2.68,1
GS1_112.06,2.07,1
GS1_24.01,2.33,1
GS1_112.01,2.23,1
GS1_105.02,1.76,1
GS1_184.03,2.78,1
GS1_24.05,2.22,1
GS1_84.06,3,1
GS1_105.05,2.37,1
GS1_105.03,2.45,1
GS1_105.04,2.36,1
GS1_112.05,1.95,1
GS1_112.02,2,1
GS1_125.05,2.82,1
GS1_125.04,2.46,1
GS1_51.04,2.12,1
GS1_51.02,2.52,1
GS1_112.04,2.41,1
GS1_51.06,2.39,1
GS1_51.05,2.65,1
GS1_184.05,2.09,1
GS1_184.04,2.79,1
GS1_51.01,2.27,1
GS1_125.06,2.08,1
GS1_112.03,2.03,1
GS1_105.06,2.27,1
GS1_51.03,2.46,1
GS1_125.01,1.93,1
GS1_184.06,2.09,1
GS1_125.03,2.2,1
GS1_125.02,2.02,1
GS1_166.04,1.93,1
GS1_154.05,2.28,1
GS1_166.03,2.47,1
GS1_126.05,3.05,1
GS1_154.01,1.67,1
GS1_126.03,2.74,1
GS1_166.05,2.54,1
GS1_126.02,2.36,1
GS1_154.04,1.86,1
GS1_126.06,2.35,1
GS1_77.02,1.74,1
GS1_126.01,1.73,1
GS1_77.03,2.76,1
GS1_126.04,1.83,1
GS1_154.06,2.03,1
GS1_77.05,2.3,1
GS1_154.03,1.53,1
GS1_154.02,1.74,1
GS1_166.06,2.12,1
GS1_166.02,3.23,1
GS1_77.01,2.21,1
GS1_166.01,2.84,1
GS1_80.02,1.65,1
GS1_77.04,2.48,1
GS1_77.06,2.72,1
GS1_135.05,2.09,1
GS1_135.02,2.62,1
GS1_80.01,2.71,1
GS1_80.03,2.54,1
GS1_135.06,2.16,1
GS1_135.04,2.11,1
GS1_135.03,2.18,1
GS1_80.04,2.52,1
GS1_135.01,2.75,1
GS1_80.05,2.8,1
GS1_80.06,1.88,1
GS1_131.03,1.74,2
GS1_131.02,2.67,2
GS1_131.05,2.1,2
GS1_131.06,1.77,2
GS1_177.02,2.26,2
GS1_178.05,2.46,2
GS1_131.04,1.98,2
GS1_178.01,2.1,2
GS1_178.06,1.89,2
GS1_178.02,2.74,2
GS1_131.01,2.26,2
GS1_177.03,2.04,2
GS1_177.06,2.62,2
GS1_177.05,2.7,2
GS1_177.04,3.02,2
GS1_178.04,1.9,2
GS1_178.03,2.34,2
GS1_107.02,1.89,2
GS1_107.03,1.71,2
GS1_176.05,2.42,2
GS1_117.01,2.25,2
GS1_176.01,2.49,2
GS1_107.01,2.25,2
GS1_176.04,2.2,2
GS1_107.04,2.19,2
GS1_176.02,2.47,2
GS1_176.06,2.32,2
GS1_107.05,1.71,2
GS1_176.03,2.23,2
GS1_117.05,2.48,2
GS1_117.06,2.36,2
GS1_117.02,2.55,2
GS1_117.03,2.19,2
GS1_117.04,2.02,2
GS1_102.02,2.58,2
GS1_179.04,3.05,2
GS1_179.02,2.89,2
GS1_102.01,2.09,2
GS1_179.03,2.44,2
GS1_102.06,2.49,2
GS1_179.06,3.53,2
GS1_179.05,3.28,2
GS1_179.01,2.36,2
GS1_102.04,3.05,2
GS1_102.05,2.4,2
GS1_102.03,2.32,2
GS1_186.04,2.19,2
GS1_107.06,1.75,2
GS1_186.01,1.85,2
GS1_186.02,2.24,2
GS1_186.03,2.22,2
GS1_186.06,2.23,2
GS1_186.05,2.49,2
GS1_84.01,2.32,2
GS1_160.1,1.97,2
GS1_160.2,1.95,2
GS1_155.04,3.04,2
GS1_29.06,2.57,2
GS1_160.6,2.18,2
GS1_160.3,1.72,2
GS1_29.03,2.35,2
GS1_29.01,2.01,2
GS1_84.05,2.36,2
GS1_180.2,2,2
GS1_155.05,2.1,2
GS1_29.05,2.3,2
GS1_84.03,2.56,2
GS1_29.02,2.4,2
GS1_180.6,1.79,2
GS1_155.03,2.56,2
GS1_84.04,2.79,2
GS1_29.04,2.7,2
GS1_155.06,2.29,2
GS1_155.02,2.71,2
GS1_155.01,2.81,2
GS1_84.02,2.29,2
GS1_180.4,2.06,2
GS1_180.5,1.88,2
GS1_180.3,1.79,2
GS1_180.1,2.08,2
GS1_78.03,2.69,2
GS1_14.03,1.78,2
GS1_14.06,1.78,2
GS1_62.04,2.77,2
GS1_14.01,2.16,2
GS1_14.02,2.14,2
GS1_14.04,2.09,2
GS1_14.05,2.01,2
GS1_62.05,1.96,2
GS1_78.02,1.95,2
GS1_62.03,1.97,2
GS1_78.01,2.02,2
GS1_62.02,2.14,2
GS1_62.06,2.77,2
GS1_62.01,1.9,2
GS1_78.06,2.05,2
GS1_78.05,2.06,2
GS1_78.04,2.35,2
GS1_192.02,1.93,3
GS1_49.05,2.08,3
GS1_49.06,2.07,3
GS1_49.04,1.92,3
GS1_183.01,1.75,3
GS1_10.06,1.77,3
GS1_49.02,1.95,3
GS1_49.03,1.88,3
GS1_10.01,2,3
GS1_183.03,2.12,3
GS1_183.02,1.98,3
GS1_10.02,2.13,3
GS1_49.01,1.81,3
GS1_183.04,1.49,3
GS1_192.01,2.06,3
GS1_10.05,2.1,3
GS1_10.04,1.92,3
GS1_10.03,1.96,3
GS1_183.05,1.5,3
GS1_197.02,2.35,3
GS1_185.06,2.23,3
GS1_192.04,1.91,3
GS1_197.03,3.7,3
GS1_185.03,2.39,3
GS1_197.01,2.72,3
GS1_185.04,2.34,3
GS1_197.04,2.15,3
GS1_192.06,1.92,3
GS1_185.01,2.15,3
GS1_192.03,2.37,3
GS1_185.05,2.38,3
GS1_192.05,2.23,3
GS1_185.02,2.54,3
GS1_197.06,2.47,3
GS1_197.05,2.4,3
GS1_113.05,2.5,3
GS1_113.01,2.64,3
GS1_113.04,2.6,3
GS1_113.03,2.63,3
GS1_113.06,2.59,3
GS1_194.02,2.26,3
GS1_173.04,1.92,3
GS1_194.04,2.4,3
GS1_208.05,2,3
GS1_194.03,2.17,3
GS1_173.05,2.13,3
GS1_173.03,2.17,3
GS1_173.02,2.15,3
GS1_173.06,2.77,3
GS1_208.01,1.63,3
GS1_194.01,2.36,3
GS1_194.06,1.92,3
GS1_208.06,2.49,3
GS1_208.04,2.38,3
GS1_208.03,1.79,3
GS1_113.02,2.34,3
GS1_173.01,3.33,3
GS1_208.02,2.11,3
GS1_194.05,2.18,3
GS1_12.05,2.87,4
GS1_12.04,1.4,4
GS1_12.03,2.59,4
GS1_175.02,2.49,4
GS1_175.01,2.76,4
GS1_175.04,2.61,4
GS1_12.06,2.23,4
GS1_12.02,2.71,4
GS1_175.03,2.74,4
GS1_175.05,2.7,4
GS1_12.01,2.65,4
GS1_175.06,2.43,4
GS1_138.02,3.77,4
GS1_170.05,2.84,4
GS1_170.04,4.66,4
GS1_138.03,2.9,4
GS1_138.06,3.86,4
GS1_170.01,4.59,4
GS1_170.03,4.28,4
GS1_138.01,3.17,4
GS1_138.05,3.14,4
GS1_170.02,3.23,4
GS1_170.06,3.79,4
GS1_138.04,4.02,4
GS1_172.04,3.39,5
GS1_145.05,2.72,5
GS1_106.01,1.94,5
GS1_189.04,2.29,5
GS1_211.02,2.53,5
GS1_59.01,1.85,5
GS1_75.02,2.86,5
GS1_172.01,3.09,5
GS1_211.03,2.07,5
GS1_172.03,2.09,5
GS1_75.01,2.15,5
GS1_145.04,1.89,5
GS1_106.02,1.95,5
GS1_211.01,1.11,5
GS1_59.05,1.88,5
GS1_75.03,2.37,5
GS1_59.06,1.78,5
GS1_145.06,2.04,5
GS1_59.04,2.41,5
GS1_35.04,2.03,5
GS1_35.02,1.87,5
GS1_108.02,1.96,5
GS1_35.01,2.13,5
GS1_35.03,1.74,5
GS1_108.03,2.33,5
GS1_35.06,2.32,5
GS1_59.02,3.08,5
GS1_75.04,2.34,5
GS1_108.04,2.55,5
GS1_108.01,2.2,5
GS1_75.06,2.24,5
GS1_35.05,1.79,5
GS1_59.03,1.97,5
GS1_108.06,2.13,5
GS1_75.05,2.34,5
GS1_108.05,2.18,5
GS1_106.04,1.94,5
GS1_189.05,1.84,5
GS1_172.05,2.32,5
GS1_189.06,2.03,5
GS1_211.04,2.17,5
GS1_172.02,2.62,5
GS1_106.03,1.92,5
GS1_211.05,2.41,5
GS1_189.01,2.17,5
GS1_172.06,2.29,5
GS1_211.06,2.3,5
GS1_189.03,1.62,5
GS1_189.02,2.4,5
GS1_144.03,3.28,6
GS1_4.02,2.7,6
GS1_144.01,2.73,6
GS1_1.04,2.26,6
GS1_4.03,1.91,6
GS1_4.05,2.1,6
GS1_4.04,2.26,6
GS1_4.06,2.14,6
GS1_144.04,2.41,6
GS1_144.02,2.48,6
GS1_1.02,1.98,6
GS1_144.06,2.67,6
GS1_1.05,3.36,6
GS1_144.05,2.45,6
GS1_1.03,2.88,6
GS1_4.01,2.6,6
GS1_1.06,2.82,6
GS1_1.01,2.52,6
GS1_203.03,2.61,6
GS1_203.06,1.89,6
GS1_137.05,2.21,6
GS1_203.02,2.11,6
GS1_212.06,1.84,6
GS1_203.01,2.81,6
GS1_137.01,2.3,6
GS1_137.06,2.19,6
GS1_137.03,2.16,6
GS1_137.02,2.24,6
GS1_137.04,2.2,6
GS1_87.06,2.28,6
GS1_87.05,2.29,6
GS1_87.04,2.33,6
GS1_87.02,2.58,6
GS1_203.04,2.23,6
GS1_212.05,2.67,6
GS1_87.03,2.56,6
GS1_212.04,2.53,6
GS1_203.05,2,6
GS1_87.01,2.31,6
GS1_103.03,2.02,6
GS1_212.01,1.69,6
GS1_103.06,2.42,6
GS1_103.02,1.92,6
GS1_103.04,2.33,6
GS1_103.01,2.85,6
GS1_145.02,2.44,6
GS1_103.05,2.11,6
GS1_47.03,2.61,6
GS1_47.06,2.01,6
GS1_146.01,1.9,6
GS1_70.04,2.05,6
GS1_47.05,2.34,6
GS1_47.02,1.95,6
GS1_47.04,2.33,6
GS1_147.02,2.77,6
GS1_70.02,2.1,6
GS1_70.03,1.96,6
GS1_70.01,2.29,6
GS1_47.01,2.19,6
GS1_70.06,1.9,6
GS1_147.06,2.29,6
GS1_70.05,2.25,6
GS1_147.01,2.7,6
GS1_147.03,2.25,6
GS1_147.05,2.23,6
GS1_147.04,2.09,6
GS1_145.01,2.65,6
GS1_145.03,2.46,6
GS1_115.02,1.94,6
GS1_115.01,2.14,6
GS1_212.02,2.18,6
GS1_212.03,2.49,6
GS1_115.03,1.91,6
GS1_152.05,2.55,6
GS1_152.02,1.82,6
GS1_152.03,1.86,6
GS1_146.04,2.4,6
GS1_152.04,2.36,6
GS1_146.05,2.37,6
GS1_152.06,1.97,6
GS1_152.01,2.3,6
GS1_146.02,2.25,6
GS1_146.06,2.2,6
GS1_146.03,1.8,6
GS1_201.04,1.87,6
GS1_5.04,2.45,6
GS1_86.04,2.79,6
GS1_92.03,2.71,6
GS1_58.02,2.47,6
GS1_5.02,3.06,6
GS1_5.01,2.97,6
GS1_201.05,1.88,6
GS1_92.04,2.48,6
GS1_92.02,2.54,6
GS1_5.05,2.36,6
GS1_58.04,2.42,6
GS1_58.03,2.82,6
GS1_58.01,2.75,6
GS1_92.01,2.36,6
GS1_5.06,2.17,6
GS1_201.01,1.75,6
GS1_201.03,2.02,6
GS1_92.05,2.73,6
GS1_201.02,2.11,6
GS1_92.06,2.36,6
GS1_86.03,2.82,6
GS1_86.01,1.85,6
GS1_86.02,2.02,6
GS1_81.04,2.13,6
GS1_58.06,2.57,6
GS1_201.06,1.7,6
GS1_81.02,2.1,6
GS1_21.03,2.13,6
GS1_58.05,2.16,6
GS1_5.03,2.25,6
GS1_81.01,1.94,6
GS1_81.03,2.06,6
GS1_21.02,2.17,6
GS1_21.05,2.18,6
GS1_21.01,1.64,6
GS1_21.06,2.47,6
GS1_21.04,2.18,6
GS1_149.05,2.2,6
GS1_81.06,2.39,6
GS1_122.04,3.35,6
GS1_122.02,2.91,6
GS1_81.05,2.39,6
GS1_149.04,2.52,6
GS1_122.03,3.02,6
GS1_122.05,2.03,6
GS1_165.02,2.85,6
GS1_165.03,2.42,6
GS1_165.04,2.05,6
GS1_165.01,3.43,6
GS1_122.06,2.16,6
GS1_122.01,2.07,6
GS1_165.06,3.23,6
GS1_165.05,2.2,6
GS1_94.03,2.35,6
GS1_94.01,2.26,6
GS1_89.01,3.11,6
GS1_199.06,2.25,6
GS1_89.05,2.48,6
GS1_199.01,2.59,6
GS1_89.03,2.48,6
GS1_199.03,2.72,6
GS1_199.02,2.78,6
GS1_199.05,2.31,6
GS1_133.05,2.38,6
GS1_162.03,2.1,6
GS1_199.04,2.57,6
GS1_162.04,2.22,6
GS1_162.05,2.39,6
GS1_133.04,2.47,6
GS1_133.06,2.32,6
GS1_162.01,1.61,6
GS1_162.02,2.38,6
GS1_89.06,2.82,6
GS1_89.04,2.52,6
GS1_89.02,2.55,6
GS1_133.01,2.09,6
GS1_32.03,1.92,6
GS1_32.06,2.29,6
GS1_133.02,2.58,6
GS1_32.01,2.49,6
GS1_32.05,2.19,6
GS1_167.01,2.59,6
GS1_32.04,2.36,6
GS1_167.05,2.52,6
GS1_32.02,2.15,6
GS1_167.03,2.26,6
GS1_167.06,2.75,6
GS1_111.01,1.87,6
GS1_167.04,2.58,6
GS1_167.02,2.53,6
GS1_111.06,2.05,6
GS1_111.02,2.16,6
GS1_111.03,1.94,6
GS1_111.04,1.87,6
GS1_111.05,2.2,6
GS1_64.01,2.26,7
GS1_64.06,2.67,7
GS1_134.06,1.79,7
GS1_64.02,2.07,7
GS1_134.02,2.5,7
GS1_64.04,2.66,7
GS1_64.05,2.32,7
GS1_6.01,2.26,7
GS1_6.04,2.18,7
GS1_99.04,2.49,7
GS1_6.03,2.53,7
GS1_6.05,2.5,7
GS1_6.02,1.93,7
GS1_99.02,2.33,7
GS1_99.06,2.19,7
GS1_6.06,3.16,7
GS1_99.05,2.4,7
GS1_99.01,2.79,7
GS1_99.03,2.45,7
GS1_133.03,2.55,7
GS1_44.01,2.25,7
GS1_8.01,2.88,7
GS1_84.05,2.38,7
GS1_8.03,2.76,7
GS1_8.05,2.18,7
GS1_8.04,1.71,7
GS1_8.06,2.25,7
GS1_134.05,2.45,7
GS1_8.02,2.21,7
GS1_134.03,3.07,7
GS1_134.01,2.54,7
GS1_134.04,2.99,7
GS1_84.04,2.89,7
GS1_84.06,2.69,7
GS1_84.01,2.34,7
GS1_84.02,2.01,7
GS1_64.03,2.56,7
GS1_7.04,2.48,7
GS1_7.02,3.3,7
GS1_84.03,2.71,7
GS1_27.05,2.34,7
GS1_190.04,2.64,7
GS1_85.04,2.25,7
GS1_85.02,2.64,7
GS1_19.06,2.41,7
GS1_19.04,2.62,7
GS1_85.05,2.45,7
GS1_19.02,2.49,7
GS1_19.03,2.54,7
GS1_19.05,2.03,7
GS1_19.01,2.36,7
GS1_7.03,2.29,7
GS1_7.01,2.6,7
GS1_7.06,2.2,7
GS1_7.05,3.18,7
GS1_44.03,2.02,7
GS1_44.02,2.32,7
GS1_44.05,2.19,7
GS1_44.06,2.88,7
GS1_44.04,1.84,7
GS1_190.06,2.26,7
GS1_171.03,2.23,7
GS1_171.01,2.79,7
GS1_27.06,2.15,7
GS1_171.04,2.99,7
GS1_171.05,2.43,7
GS1_7.01,2.8,7
GS1_171.02,2.59,7
GS1_27.04,2.26,7
GS1_27.03,2.25,7
GS1_27.02,2.24,7
GS1_27.01,2.67,7
GS1_190.02,2.02,7
GS1_190.05,2.59,7
GS1_82.06,2.78,7
GS1_190.03,2.81,7
GS1_190.01,2.65,7
GS1_85.03,2.2,7
GS1_85.06,2.04,7
GS1_85.01,2.51,7
GS1_48.01,2.62,7
GS1_48.02,3.28,7
GS1_48.03,2.49,7
GS1_48.04,2.37,7
GS1_200.03,2.86,7
GS1_200.04,2.42,7
GS1_200.05,2.38,7
GS1_200.06,2.56,7
GS1_200.02,2.7,7
GS1_200.01,3.02,7
GS1_26.06,2.7,7
GS1_26.05,2.52,7
GS1_7.03,2.62,7
GS1_171.06,2.47,7
GS1_82.01,2.77,7
GS1_82.02,2.46,7
GS1_7.02,3.17,7
GS1_82.04,2.46,7
GS1_82.03,2.16,7
GS1_82.05,2.73,7
GS1_177.01,2.74,7
GS1_149.06,2.42,7
GS1_94.02,2.2,7
GS1_94.04,2.31,7
GS1_94.06,2.5,7
GS1_149.01,1.99,7
GS1_149.03,2.26,7
GS1_149.02,2.38,7
GS1_94.05,2.27,7
GS1_26.04,2.6,7
GS1_26.03,2.73,7
GS1_26.02,2.38,7
GS1_26.01,2.81,7
GS1_85.01,2.77,7
GS1_85.05,2.86,7
GS1_85.02,2.66,7
GS1_85.06,2.81,7
GS1_85.03,2.87,7
GS1_48.05,2.02,7
GS1_48.06,2.39,7
GS1_85.04,2.6,7
GS1_40.04,no data,8
GS1_41.06,no data,8
GS1_41.04,no data,8
GS1_36.05,2.12,8
GS1_36.04,2.14,8
GS1_118.03,2.39,8
GS1_118.05,2.56,8
GS1_36.06,1.81,8
GS1_36.01,2.41,8
GS1_52.05,0.98,8
GS1_36.02,2,8
GS1_36.03,2.2000000000000002,8
GS1_118.02,3.11,8
GS1_52.04,2.12,8
GS1_52.06,2.2999999999999998,8
GS1_118.01,1.99,8
GS1_52.01,2.61,8
GS1_52.03,3.1,8
GS1_52.02,2.64,8
GS1_156.06,2.5499999999999998,8
GS1_156.02,1.79,8
GS1_156.04,2.5099999999999998,8
GS1_156.05,1.84,8
GS1_55.01,1.23,8
GS1_39.01,2.54,8
GS1_76.05,2.16,8
GS1_39.05,1.76,8
GS1_76.01,1.82,8
GS1_76.06,2.25,8
GS1_76.04,2.67,8
GS1_55.05,2.6,8
GS1_53.06,2.69,8
GS1_53.01,2.5499999999999998,8
GS1_156.03,1.84,8
GS1_119.03,2.0699999999999998,8
GS1_119.05,2.48,8
GS1_119.01,2.59,8
GS1_119.06,2.0299999999999998,8
GS1_118.06,2.1,8
GS1_156.01,2,8
GS1_118.04,1.94,8
GS1_119.02,2.31,8
GS1_119.04,2.4300000000000002,8
GS1_66.06,2.57,8
