Plant,gid,Brix,Dry_matter,a,Time_processed
GS1_129.04,GS1_129,12.2,14.069591528,29.6572200662,10
GS1_129.05,GS1_129,12,12.8240109141,28.7960527827,10
GS1_129.06,GS1_129,11.1,13.1210191083,27.1232419206,10
GS1_130.01,GS1_130,12.8,15.5283505155,29.6354350617,13
GS1_130.02,GS1_130,11.9,13.8419986496,26.9124451758,13
GS1_130.03,GS1_130,13.5,19.5592286501,29.9538433955,13
GS1_130.04,GS1_130,12.5,15.910543131,29.1731024729,13
GS1_130.05,GS1_130,13.9,20.2979515829,32.9534006076,13
GS1_130.06,GS1_130,10.8,15.8860759494,31.3875637954,13
GS1_131.01,GS1_131,12,15.564738292,25.5853553912,2
GS1_131.02,GS1_131,11.1,16.8241965974,27.6095149068,2
GS1_131.03,GS1_131,8.2,10.9022556391,27.2953167616,2
GS1_131.04,GS1_131,11.5,12.9921259843,29.2309614121,2
GS1_131.05,GS1_131,12.7,14.5631067961,28.8763221984,2
GS1_131.06,GS1_131,9.5,11.7063492063,27.3780846327,2
GS1_132.01,GS1_132,10,12.7906976744,31.0148560688,9
GS1_132.02,GS1_132,12.3,16.6112956811,31.5054156903,9
GS1_132.03,GS1_132,10.2,18.2148040639,30.5198337248,9
GS1_132.04,GS1_132,11.8,15.4371584699,30.0525706633,9
GS1_132.05,GS1_132,13.9,19.2605843769,31.7236940968,9
GS1_132.06,GS1_132,11.4,13.9936102236,32.5154736831,9
GS1_133.01,GS1_133,10.3,14.4237405107,27.4217222555,6
GS1_133.02,GS1_133,12.4,17.1201061712,25.6730212762,6
GS1_133.03,GS1_133,11.3,16.7763157895,24.0495811399,6
GS1_133.04,GS1_133,11.5,16.0702667534,28.6253023525,6
GS1_133.05,GS1_133,11.4,15.6785243742,27.1813574944,6
GS1_133.06,GS1_133,11.4,14.0520896426,27.5448414905,6
GS1_134.01,GS1_134,12.8,16.323907455,30.5071551229,6
GS1_134.02,GS1_134,12.2,16.2232316677,29.959598374,6
GS1_134.03,GS1_134,14.2,18.730933496,31.7918403725,6
GS1_134.04,GS1_134,13.1,19.1176470588,31.292765412,6
GS1_134.05,GS1_134,11.3,15.1327980235,30.7654793744,6
GS1_134.06,GS1_134,11.4,11.9174434088,22.6645401085,6
GS1_135.01,GS1_135,12.3,17.6056338028,23.9861993508,1
GS1_135.02,GS1_135,12.1,15.9951159951,22.6116506959,1
GS1_135.03,GS1_135,10.6,14.5527369826,23.9892303369,1
GS1_135.04,GS1_135,11.9,13.7191157347,26.817066764,1
GS1_135.05,GS1_135,10.5,13.6690647482,25.5924857604,1
GS1_135.06,GS1_135,11.6,13.4411947729,24.5414691373,1
GS1_136.01,GS1_136,10.4,11.1906310995,33.3450557408,13
GS1_136.02,GS1_136,12.4,15.762925599,32.7016447784,13
GS1_136.03,GS1_136,9.6,10.7003891051,33.9241056771,13
GS1_136.04,GS1_136,12.7,15.8466453674,30.321705351,13
GS1_136.05,GS1_136,12.3,14.2300194932,33.6766851632,13
GS1_136.06,GS1_136,9.8,11.3784135241,32.2897507515,13
GS1_137.01,GS1_137,11.8,15.742642026,24.3728468345,5
GS1_137.02,GS1_137,12.5,15.0740242261,23.9103879256,5
GS1_137.03,GS1_137,12,14.7038801906,23.9070971153,5
GS1_137.04,GS1_137,10.2,14.0575079872,25.1417571939,5
GS1_137.05,GS1_137,10.6,14.5394736842,24.1191350171,5
GS1_137.06,GS1_137,10.7,13.6194029851,23.6793710922,5
GS1_138.01,GS1_138,10,13.2914046122,28.4564889923,4
GS1_138.02,GS1_138,11,18.935208438,29.039545598,4
GS1_138.03,GS1_138,11.6,8.8199513382,25.7520183806,4
GS1_138.04,GS1_138,11,13.0392474862,26.8991718299,4
GS1_138.05,GS1_138,11.7,14.4633809304,30.1248012831,4
GS1_138.06,GS1_138,11.5,15.3479125249,30.2910640898,4
GS1_139.01,GS1_139,9.2,12.2206703911,27.5218549765,1
GS1_139.02,GS1_139,10.6,12.7809890816,24.7238942357,1
GS1_139.03,GS1_139,10.2,12.5790139064,29.2777045477,1
GS1_139.04,GS1_139,10.6,11.4195583596,26.4349405186,1
GS1_139.05,GS1_139,10.9,14.1176470588,26.3226976898,1
GS1_139.06,GS1_139,11.4,13.4601832276,27.0941110157,1
GS1_140.01,GS1_140,13.9,15.8957654723,29.8601682124,11
GS1_140.02,GS1_140,14.7,18.4005661713,34.6081067367,11
GS1_140.03,GS1_140,14.5,14.0387275242,29.0232335734,11
GS1_140.04,GS1_140,13.6,17.2610556348,32.234429032,11
GS1_140.05,GS1_140,14,17.7459526775,29.64431236,11
GS1_141.01,GS1_141,10,14.5299145299,27.1875130383,9
GS1_141.02,GS1_141,12.6,15.5650319829,27.311697795,9
GS1_141.03,GS1_141,10.3,13.1926121372,27.2607704886,9
GS1_141.04,GS1_141,10.6,14.2857142857,26.6306795201,9
GS1_141.05,GS1_141,9,12.4057573681,29.1524286056,9
GS1_141.06,GS1_141,11.7,15.2387181164,28.4061103713,9
GS1_142.01,GS1_142,11.3,14.598540146,29.7784367872,13
GS1_142.02,GS1_142,11.9,14.4444444444,29.4595767139,13
GS1_142.03,GS1_142,12.1,16.4383561644,30.656368127,13
GS1_142.04,GS1_142,8,9.1636363636,29.1398006212,13
GS1_142.05,GS1_142,10.6,12.2207621551,30.2298166177,13
GS1_142.06,GS1_142,12.2,14.2950391645,27.882701221,13
GS1_143.01,GS1_143,13,14.3306096794,29.2624236295,13
GS1_143.02,GS1_143,12.5,15.9344262295,28.7094599936,13
GS1_143.03,GS1_143,10.2,12,28.1912480635,13
GS1_143.04,GS1_143,13.1,14.9281698938,29.4012897148,13
GS1_143.05,GS1_143,11.4,18.8376753507,30.3921830464,13
GS1_143.06,GS1_143,12.6,16.6952054795,34.1157127401,13
GS1_144.01,GS1_144,11.6,16.2114014252,27.37817232,5
GS1_144.02,GS1_144,11.4,14.9397590361,30.3216809459,5
GS1_144.03,GS1_144,13,19.5005945303,29.2771069385,5
GS1_144.04,GS1_144,11.3,14.9689440994,31.5600617448,5
GS1_144.05,GS1_144,11.8,15.9609120521,28.9124383577,5
GS1_144.06,GS1_144,13.3,17.9676985195,29.9648455833,5
GS1_145.01,GS1_145,11.5,16.9654289373,31.4392136149,5
GS1_145.02,GS1_145,11.9,16.4420485175,31.8438698307,5
GS1_145.03,GS1_145,11,15.5303030303,32.0239105222,5
GS1_145.04,GS1_145,9.9,12.9986244842,32.7968962004,5
GS1_145.05,GS1_145,10.8,16.2971839425,27.4599513364,5
GS1_145.06,GS1_145,10.5,12.5848241826,32.9605267096,5
GS1_146.01,GS1_146,9.9,11.9047619048,24.975544609,4
GS1_146.02,GS1_146,10.9,14.5442792502,31.9820021192,4
GS1_146.03,GS1_146,10.6,12.1786197564,25.1218103038,4
GS1_146.04,GS1_146,9.5,14.5278450363,29.0928593874,4
GS1_146.05,GS1_146,11.1,15.0094996833,28.5182553583,4
GS1_146.06,GS1_146,12,14.175257732,27.8254654855,4
GS1_147.01,GS1_147,14,16.3043478261,31.592051521,4
GS1_147.02,GS1_147,11.4,17.3233270794,26.1538364583,4
GS1_147.03,GS1_147,12.3,15.0100066711,31.2445268917,4
GS1_147.04,GS1_147,11.5,13.1363922062,29.5417050025,4
GS1_147.05,GS1_147,11.6,14.0339836375,29.0624732387,4
GS1_147.06,GS1_147,11.3,14.4570707071,31.0281303489,4
GS1_148.01,GS1_148,11.3,13.994374121,26.158443974,11
GS1_148.02,GS1_148,11.3,14.1757536883,27.4842185898,11
GS1_148.03,GS1_148,11.5,13.6102236422,26.0042022217,11
GS1_148.04,GS1_148,10.8,13.9636819036,26.0243200352,11
GS1_148.05,GS1_148,11.3,12.5,26.9459846113,11
GS1_148.06,GS1_148,11.6,13.5076252723,28.1319563575,11
GS1_149.01,GS1_149,9.9,12.5472887768,27.6612064174,7
GS1_149.02,GS1_149,12,14.7186147186,30.2671657885,7
GS1_149.03,GS1_149,11.8,14.7615937296,29.1582667111,7
GS1_149.04,GS1_149,13,15.7303370787,31.0752428712,7
GS1_149.05,GS1_149,11.8,13.6476426799,30.9993300808,7
GS1_149.06,GS1_149,13.1,15.7963446475,28.3547367038,7
GS1_150.01,GS1_150,9.5,15.6239431857,25.1254841422,4
GS1_150.02,GS1_150,10.2,14.0990990991,25.4176804607,4
GS1_150.03,GS1_150,10.1,13.9902218879,24.8676164435,4
GS1_150.04,GS1_150,9.7,14.0141632501,25.1397461181,4
GS1_150.05,GS1_150,9.6,14.9555375909,25.5708856134,4
GS1_150.06,GS1_150,10.6,14.3275925247,26.3393842157,4
GS1_151.01,GS1_151,12.3,17.095709571,29.8277877188,13
GS1_151.02,GS1_151,12.4,17.0841361593,29.8494131803,13
GS1_151.03,GS1_151,12,15.7622739018,28.8087341851,13
GS1_151.04,GS1_151,11.9,14.0551445864,31.2842595553,13
GS1_151.05,GS1_151,12.5,19.776609724,29.2348500593,13
GS1_151.06,GS1_151,8.3,10.099009901,31.4804065037,13
GS1_152.01,GS1_152,12.5,14.8291424887,28.4803911699,4
GS1_152.02,GS1_152,9.3,10.7374631268,27.5638681336,4
GS1_152.03,GS1_152,10,11.7796073464,27.9269633804,4
GS1_152.04,GS1_152,11.7,14.5409735059,27.6190617772,4
GS1_152.05,GS1_152,12.9,17.0682730924,30.7325167435,4
GS1_152.06,GS1_152,11.5,13.8634764251,28.1480614923,4
GS1_153.01,GS1_153,11.7,11.5003304693,28.7963299274,10
GS1_153.02,GS1_153,11.8,12.7272727273,28.7959395803,10
GS1_153.03,GS1_153,11.2,11.8272425249,27.3376498678,10
GS1_153.04,GS1_153,9.9,10.1811367895,27.5188902998,10
GS1_153.05,GS1_153,11.5,12.7272727273,26.7368879841,10
GS1_153.06,GS1_153,11.2,13.9520958084,25.8344335788,10
GS1_154.01,GS1_154,7.5,10.4571070758,29.039352395,1
GS1_154.02,GS1_154,9.1,11.0546378653,29.5167844083,1
GS1_154.03,GS1_154,9.1,9.8329048843,28.4986720442,1
GS1_154.04,GS1_154,9.7,11.9922630561,27.0042184782,1
GS1_154.05,GS1_154,11.2,15.627141878,25.3753559632,1
GS1_154.06,GS1_154,10.7,12.7753303965,24.6537333062,1
GS1_155.01,GS1_155,14,17.00968523,27.081517949,1
GS1_155.02,GS1_155,13.1,16.5344722392,27.5503750079,1
GS1_155.03,GS1_155,13.4,15.8710477371,29.6523055276,1
GS1_155.04,GS1_155,13.8,18.9054726368,29.4972090788,1
GS1_155.05,GS1_155,11.2,13.5309278351,30.4096080137,1
GS1_155.06,GS1_155,12.2,14.7456535737,30.5402977093,1
GS1_156.01,GS1_156,11.8,13.698630137,28.7010397242,8
GS1_156.02,GS1_156,9.7,11.7069980379,32.0299960377,8
GS1_156.03,GS1_156,12.2,13.0960854093,26.6634948644,8
GS1_156.04,GS1_156,12.6,17.133105802,26.7859762128,8
GS1_156.05,GS1_156,12.6,15.6064461408,29.0189216161,8
GS1_156.06,GS1_156,13.1,16.954787234,28.0207417755,8
GS1_157.01,GS1_157,11.8,14.3524699599,25.3272186124,8
GS1_157.02,GS1_157,11,16.3157894737,26.4910954298,8
GS1_157.03,GS1_157,11.4,15.4498044329,24.8170620618,8
GS1_157.04,GS1_157,10.8,14.2019543974,27.507936776,8
GS1_157.05,GS1_157,11.8,13.452299245,24.7971233388,8
GS1_157.06,GS1_157,10.7,14.0039447732,24.1816662228,8
GS1_158.01,GS1_158,11.3,13.2646880678,28.3602543698,9
GS1_158.02,GS1_158,13,14.7820965842,25.7128238419,9
GS1_158.03,GS1_158,11.8,15.1452282158,25.3841917334,9
GS1_158.04,GS1_158,10.8,12.7250155183,25.739984523,9
GS1_158.05,GS1_158,10.7,13.1116687578,24.6302634477,9
GS1_158.06,GS1_158,13.5,18.2680151707,26.825745703,9
GS1_159.01,GS1_159,9.2,12.4215809285,28.4877159693,8
GS1_159.02,GS1_159,11.2,13.3962264151,30.2837703213,8
GS1_159.03,GS1_159,11.8,13.5305223411,31.1791693764,8
GS1_159.04,GS1_159,13.1,14.6649810367,28.2004260027,8
GS1_159.05,GS1_159,13.4,19.0375088464,30.7666917576,8
GS1_159.06,GS1_159,10.2,13.0913804277,28.5567096072,8
GS1_160.1,GS1_160,10.1,12.1604938272,25.8694438742,1
GS1_160.2,GS1_160,10.5,13.1224764468,24.7978806547,1
GS1_160.3,GS1_160,9.5,11.4896459586,25.1866016435,1
GS1_160.4,GS1_160,11.8,14.8874364561,25.3334531119,1
GS1_160.5,GS1_160,11.7,17.0664838931,29.1969007238,1
GS1_160.6,GS1_160,10.8,14.3044619423,27.6638702304,1
GS1_161.01,GS1_161,9.1,9.993425378,28.5013698172,10
GS1_161.02,GS1_161,13.5,15.3481012658,27.6213133794,10
GS1_161.03,GS1_161,13.5,16.2033898305,28.2184649222,10
GS1_161.04,GS1_161,12.8,14.7488874762,28.3486519031,10
GS1_161.05,GS1_161,11.2,11.1735769501,27.525628832,10
GS1_161.06,GS1_161,10.1,11.0169491525,27.4758614593,10
GS1_162.01,GS1_162,9,11.0652920962,28.8938165615,6
GS1_162.02,GS1_162,13.8,15.9517426273,30.6593111917,6
GS1_162.03,GS1_162,10,13.0353817505,25.464734993,6
GS1_162.04,GS1_162,10.9,15.6779661017,30.5906997565,6
GS1_162.05,GS1_162,13.2,15.1553582752,26.6450393885,6
GS1_163.01,GS1_163,11.6,15.5319148936,30.0970600813,8
GS1_163.02,GS1_163,12.7,17.1391752577,31.0906611886,8
GS1_163.03,GS1_163,12.8,17.5666883539,29.5524284504,8
GS1_163.04,GS1_163,12.6,15.0381150381,27.4097978494,8
GS1_163.05,GS1_163,11.4,16.0161507402,31.5872446185,8
GS1_163.06,GS1_163,12.7,15.9525379038,30.3213310206,8
GS1_164.01,GS1_164,12.2,15.6398104265,26.8499906536,8
GS1_164.02,GS1_164,11.7,13.9248704663,31.3001180601,8
GS1_164.03,GS1_164,11.7,17.9133858268,27.1013020896,8
GS1_164.04,GS1_164,12.2,18.4796044499,31.317257579,8
GS1_164.05,GS1_164,12.1,16.8147208122,27.4663967021,8
GS1_164.06,GS1_164,11.4,15.3514180025,22.9921368091,8
GS1_165.01,GS1_165,13.9,21.4375,26.8594905149,7
GS1_165.02,GS1_165,13,17.868338558,24.5657870733,7
GS1_165.03,GS1_165,11,15.8584534731,25.0782352682,7
GS1_165.04,GS1_165,10.8,13.5402906209,25.6256148868,7
GS1_165.05,GS1_165,10.8,13.7758296807,26.0301165259,7
GS1_165.06,GS1_165,14.2,20.6653870761,27.5629209262,7
GS1_166.01,GS1_166,12,16.8346176645,31.2354629296,1
GS1_166.02,GS1_166,11.6,21.6924110141,25.3788324424,1
GS1_166.03,GS1_166,12.6,14.852675887,29.376888666,1
GS1_166.04,GS1_166,12,13.1114130435,28.3822164019,1
GS1_166.05,GS1_166,9.4,15.7666045934,29.9778698259,1
GS1_166.06,GS1_166,12.4,14.5106091718,30.2662655209,1
GS1_167.01,GS1_167,11.4,17.1183079974,28.1756108583,6
GS1_167.02,GS1_167,12.9,16.4713541667,29.0592957731,6
GS1_167.03,GS1_167,12.7,15.6944444444,30.5545662975,6
GS1_167.04,GS1_167,13.1,17.5152749491,30.4164305339,6
GS1_167.05,GS1_167,13.4,15.4886293792,28.2254564316,6
GS1_167.06,GS1_167,11.9,17.9738562092,28.6232314115,6
GS1_168.01,GS1_168,10.8,16.1575016972,30.1302035939,11
GS1_168.02,GS1_168,13.2,17.6396735719,30.7756352591,11
GS1_168.03,GS1_168,13.7,19.1609267376,28.7548056186,11
GS1_168.04,GS1_168,12.6,16.7366526695,28.9553989548,11
GS1_168.05,GS1_168,13.3,17.8002894356,27.1649192829,11
GS1_168.06,GS1_168,10.5,12.1546961326,27.3918297569,11
GS1_169.01,GS1_169,9.7,12.1682847896,22.7766459279,10
GS1_169.02,GS1_169,12.1,13.5169762972,25.0179478672,10
GS1_169.03,GS1_169,13.2,19.6649672251,23.9919257538,10
GS1_169.04,GS1_169,8.2,10.9589041096,26.1793113106,10
GS1_169.05,GS1_169,13.3,19.25,25.118974911,10
GS1_169.06,GS1_169,7.9,9.272467903,24.1386674039,10
GS1_170.01,GS1_170,11.6,13.7096774194,23.360131517,4
GS1_170.01,GS1_170,11.1,13.6300417246,22.4487646111,9
GS1_170.02,GS1_170,10.9,13.3747412008,23.2609644976,4
GS1_170.02,GS1_170,11.5,14.4422952934,24.2327803659,9
GS1_170.03,GS1_170,10.9,14.6174863388,23.5563266212,4
GS1_170.03,GS1_170,12.1,13.3379888268,26.2275502618,9
GS1_170.04,GS1_170,11.9,17.6984428409,25.6596697522,4
GS1_170.04,GS1_170,11.8,14.2414860681,25.1608046401,9
GS1_170.05,GS1_170,11.7,13.0275229358,24.1538553007,4
GS1_170.05,GS1_170,9.9,10.7929515419,21.7831670637,9
GS1_170.06,GS1_170,11.1,14.4271031595,25.672278894,4
GS1_170.06,GS1_170,12.8,15.4746423927,25.4232806611,9
GS1_171.01,GS1_171,12,17.5582127124,27.0742314967,6
GS1_171.01,GS1_171,13.2,15.4092071611,28.7568800616,13
GS1_171.02,GS1_171,11.9,16.3201008192,27.3684787124,6
GS1_171.02,GS1_171,12.6,15.7331655129,28.8955426153,13
GS1_171.03,GS1_171,10.2,14.5751633987,25.4736046295,6
GS1_171.03,GS1_171,12.5,16.7307692308,27.6208008412,13
GS1_171.04,GS1_171,13.4,19.4915254237,26.6491212082,6
GS1_171.04,GS1_171,13,17.4904942966,27.9107725498,13
GS1_171.05,GS1_171,13,15.1401869159,29.8733200086,6
GS1_171.05,GS1_171,11.5,14.600908501,27.7561364937,13
GS1_171.06,GS1_171,12.7,15.3035935564,27.722543582,6
GS1_171.06,GS1_171,11.5,14.6183699871,29.8258021759,13
GS1_172.01,GS1_172,12.9,22.8888888889,26.9951750168,5
GS1_172.02,GS1_172,11.2,16.6878980892,26.8174067466,5
GS1_172.04,GS1_172,13.3,21.661341853,25.3873002165,5
GS1_172.05,GS1_172,7.7,14.9774047773,29.0137133997,5
GS1_172.06,GS1_172,11.7,13.7702946482,29.1676059816,5
GS1_173.01,GS1_173,14.3,22.3489932886,30.664770698,2
GS1_173.02,GS1_173,11.6,15.2807391613,28.0800707765,2
GS1_173.03,GS1_173,12.2,15.0589868147,28.0837819407,2
GS1_173.04,GS1_173,12.7,13.8228941685,27.3570941594,2
GS1_173.05,GS1_173,12.3,16.2844036697,27.3932530776,2
GS1_173.06,GS1_173,11.3,17.3233270794,25.4831548495,2
GS1_174.01,GS1_174,15,19.0417690418,30.7390029471,11
GS1_174.02,GS1_174,12.2,16.6666666667,27.7193453309,11
GS1_174.03,GS1_174,10.8,16.2328767123,28.1251322401,11
GS1_174.04,GS1_174,13,18.3578104139,27.7438846567,11
GS1_174.05,GS1_174,12.2,17.5333333333,27.0092466454,11
GS1_175.01,GS1_175,11.4,18.1102362205,27.1008908516,4
GS1_175.02,GS1_175,10,14.9191132415,27.3082871106,4
GS1_175.03,GS1_175,10.7,17.5303902751,26.4114405711,4
GS1_175.04,GS1_175,11.2,17.48158071,24.7409029983,4
GS1_175.05,GS1_175,10.8,17.5097276265,22.1957032158,4
GS1_175.06,GS1_175,10.7,16.146179402,23.9188371935,4
GS1_176.01,GS1_176,11.8,17.243767313,23.5528032091,2
GS1_176.02,GS1_176,9.9,15.8130601793,24.9356831716,2
GS1_176.03,GS1_176,9.6,14.6517739816,25.0634112951,2
GS1_176.04,GS1_176,10.4,13.8451856514,24.5257386885,2
GS1_176.05,GS1_176,13,15.3553299492,23.8580305041,2
GS1_176.06,GS1_176,12.1,14.5090681676,25.8216323162,2
GS1_177.01,GS1_177,11.5,18.0263157895,30.1712125789,2
GS1_177.02,GS1_177,11.6,15.5006858711,24.6419096182,2
GS1_177.03,GS1_177,11.1,13.2038834951,28.3929837481,2
GS1_177.04,GS1_177,12.1,19.7643979058,29.9506038178,2
GS1_177.05,GS1_177,11.4,16.4634146341,28.5378957309,2
GS1_177.06,GS1_177,14.2,16.8380462725,27.118510552,2
GS1_178.01,GS1_178,12.6,14.6137787056,26.7831666209,2
GS1_178.02,GS1_178,10.7,17.0504044804,27.5821241981,2
GS1_178.03,GS1_178,11,15.4048716261,26.6353634598,2
GS1_178.04,GS1_178,6.2,11.8527760449,25.9036966394,2
GS1_178.05,GS1_178,12.4,15.1851851852,29.5146503689,2
GS1_178.06,GS1_178,10.6,12.2171945701,29.2249668978,2
GS1_179.01,GS1_179,12.3,15.0031786395,31.9094205231,2
GS1_179.02,GS1_179,14.5,17.6219512195,29.8104761031,2
GS1_179.03,GS1_179,13.1,15.3266331658,32.0299726085,2
GS1_179.04,GS1_179,14.2,18.4848484848,32.1755535029,2
GS1_179.05,GS1_179,13.3,20.7332490518,30.9584932243,2
GS1_179.06,GS1_179,13.8,22.0212102308,29.4528689111,2
GS1_180.1,GS1_180,10.3,14.2270861833,27.2133193154,1
GS1_180.2,GS1_180,10,12.3380629241,21.7680528195,1
GS1_180.3,GS1_180,10.3,12.5,28.3083484086,1
GS1_180.4,GS1_180,10.8,14.2167011732,27.4218529585,1
GS1_180.5,GS1_180,11.1,12.815269257,26.7587525774,1
GS1_180.6,GS1_180,10.8,12.361878453,29.5609150616,1
GS1_181.01,GS1_181,10.9,14.2403051494,28.855164813,13
GS1_181.02,GS1_181,11.7,15.1002506266,30.256557458,13
GS1_181.03,GS1_181,12,15.4238368388,29.5717180479,13
GS1_181.04,GS1_181,11.5,14.8976982097,30.5096540868,13
GS1_181.05,GS1_181,11.9,14.0891218873,27.4227942671,13
GS1_181.06,GS1_181,13.2,15.6312625251,31.8890271895,13
GS1_182.01,GS1_182,11.2,13.1406044678,24.7461122055,10
GS1_182.02,GS1_182,11.4,14.3239625167,24.1243895868,10
GS1_182.03,GS1_182,12.8,12.9740518962,26.1210187994,10
GS1_182.04,GS1_182,10.4,11.6479152879,26.294212659,10
GS1_182.05,GS1_182,10.9,13.3640552995,23.9698893992,10
GS1_182.06,GS1_182,12.5,14.5569620253,27.845259261,10
GS1_183.01,GS1_183,10.2,11.3488975357,30.4393578184,2
GS1_183.02,GS1_183,9.6,13.0520764667,30.6233165877,2
GS1_183.03,GS1_183,10.1,13.8925294889,30.6320026602,2
GS1_183.04,GS1_183,7.6,9.5146871009,31.5604757059,2
GS1_183.05,GS1_183,8.3,9.6961861668,30.7942003599,2
GS1_184.01,GS1_184,10.7,12.4137931034,28.7094847007,1
GS1_184.02,GS1_184,12.5,13.9385275197,30.7420009457,1
GS1_184.03,GS1_184,10.5,17.375,22.0974963886,1
GS1_184.04,GS1_184,10.6,18.7878787879,23.3787901949,1
GS1_184.05,GS1_184,12.5,13.3205863607,28.8409692309,1
GS1_184.06,GS1_184,11,13.2027795325,33.1716789405,1
GS1_185.01,GS1_185,10.9,13.8799225307,28.3497163547,2
GS1_185.02,GS1_185,9,16.2820512821,27.1748910145,2
GS1_185.03,GS1_185,10.5,15.1746031746,24.287641608,2
GS1_185.04,GS1_185,11.5,15.184944841,30.4261331249,2
GS1_185.05,GS1_185,10.8,15.5657292348,28.0368440646,2
GS1_185.06,GS1_185,13.2,14.9463806971,33.3848262492,2
GS1_186.01,GS1_186,10.6,12.0757180157,25.5976935225,2
GS1_186.01,GS1_186,12.7,17.4543163201,32.9868684827,13
GS1_186.02,GS1_186,13.6,15.1761517615,26.8999487415,2
GS1_186.02,GS1_186,12.7,16.25,30.6647164712,13
GS1_186.03,GS1_186,10.7,13.9534883721,22.6040781433,2
GS1_186.03,GS1_186,12.3,17.7165354331,34.2071899015,13
GS1_186.04,GS1_186,10,13.5101789019,23.6379928291,2
GS1_186.04,GS1_186,13.2,16.2459546926,31.7605340773,13
GS1_186.05,GS1_186,11,16.6221628838,22.9004163198,2
GS1_186.06,GS1_186,12.1,14.2948717949,27.5077591832,2
GS1_187.01,GS1_187,12.9,14.0102827763,26.6334315265,13
GS1_187.02,GS1_187,13.9,19.3569553806,27.8115914118,13
GS1_187.03,GS1_187,12.5,20.584498094,24.7034032283,13
GS1_187.04,GS1_187,12.7,17.2413793103,29.3573313296,13
GS1_187.05,GS1_187,10.8,15.4761904762,23.6370368539,13
GS1_187.06,GS1_187,11,12.7713920817,26.5660996153,13
GS1_188.01,GS1_188,9.6,11.4208021754,32.2033791373,11
GS1_188.02,GS1_188,12.9,16.1268556005,31.2678666377,11
GS1_188.03,GS1_188,10.7,12.6239259749,30.5713009176,11
GS1_188.04,GS1_188,12.9,15.6033287101,29.7655524202,11
